Hs Code,Hs  Description,Date Processed,Items Number,Number of Package,Goods Description1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
,,11/18/2003 11:57AM,1,10,"GOLD BULLION BAR NOS.GAG02817,GAG02818,GAG02819,GAG02820,GAG02821",1872554.43,0.00,GH
,,11/18/2003 03:51PM,1,1,GOLD GRANULESONE WOODEN BOX,12148261.05,0.00,GH
,,11/19/2003 02:19PM,1,15,"GOLD BULLION BAR NO. OM 160,161SOH156,  SS 638,639,640,641,642,643",3238106.91,0.00,GH
,,11/19/2003 03:06PM,1,3,GOLD  ORE FOR REFINING,1154746.04,0.00,GH
,,11/19/2003 04:34PM,1,1,GOLD DOREBAR NO          =          3122,228494.61,0.00,GH
,,,2,1,GOLD DOREBAR NO          =          3131G,249289.97,0.00,
,,,3,1,GOLD DOREBAR NO          =          3123,275592.91,0.00,
,,,4,1,GOLD DOREBAR NO          =          3124,267177.06,0.00,
,,,5,1,GOLD DOREBAR NO          =          3125,260083.31,0.00,
,,,6,1,GOLD DOREBAR NO          =          3127,268744.75,0.00,
,,,7,1,GOLD DOREBAR NO          =          3128,262288.28,0.00,
,,,8,1,GOLD DOREBAR NO          =          3129,200033.35,0.00,
,,,9,1,GOLD DOREBAR NO          =          3130G,221377.09,0.00,
,,,10,1,GOLD DOREBAR NO          =          3126,159942.53,0.00,
,,11/20/2003 02:39PM,1,1,GOLD DOREBAR NO          =     TMHL02831,128379.35,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     TMHL02832,289165.13,0.00,
,,,3,1,GOLD DOREBAR NO          =     TMHL02833,274271.69,0.00,
,,,4,1,GOLD DOREBAR NO          =     TMHL02834,252817.04,0.00,
,,,5,1,GOLD DOREBAR NO          =     TMHL02835,251678.91,0.00,
,,,6,1,GOLD DOREBAR NO          =     TMHL02836,202753.25,0.00,
,,,7,1,GOLD DOREBAR NO          =     TMHL02837,300351.94,0.00,
,,,8,1,GOLD DOREBAR NO          =     TMHL02838,114512.25,0.00,
,,,9,1,GOLD DOREBAR NO          =     TMHL02839,101137.20,0.00,
,,,10,1,GOLD DOREBAR NO          =     TMHL02840,208062.78,0.00,
,,,11,1,GOLD DOREBAR NO          =     TMHL02841,210401.54,0.00,
,,,12,1,GOLD DOREBAR NO          =     TMHL02842,228291.27,0.00,
,,,13,1,GOLD DOREBAR NO          =     TMHL02843,130368.66,0.00,
,,,14,1,GOLD DOREBAR NO          =      TEB02827,282163.81,0.00,
,,,15,1,GOLD DOREBAR NO          =      TEB02828,300581.68,0.00,
,,,16,1,GOLD DOREBAR NO          =      TEB02829,286270.07,0.00,
,,,17,1,GOLD DOREBAR NO          =      TEB02830,196516.84,0.00,
,,11/21/2003 02:21PM,1,1,GOLD DOREBAR NO          =     BGM-J322,258939.90,0.00,GH
,,11/21/2003 04:05PM,1,6,"GOLD BULLION BAR NOS. AGBL249,AGBL250,AGBL251,AGBL252,AGBL253",1354817.23,0.00,GH
,,11/26/2003 11:01AM,1,10,"GOLD BULLION BAR NOS. GAG02827,GAG02828,GAG02829,GAG02830,GAG02831",1755029.57,0.00,GH
,,12/2/2003 12:25PM,1,13,"GOLD BULLION BAR NOS. OM 162,163SOH157, SS650,651,652,653,654,655,",0.00,0.00,GH
,,11/26/2003 01:49PM,1,3,GOLD ORE FOR REFINING,1025587.26,0.00,GH
,,11/27/2003 01:06PM,1,1,GOLD GRANULESONE WOODEN BOX,4992177.78,0.00,GH
,,11/27/2003 02:25PM,1,1,GOLD GRANULESONE WOODEN BOX,5546922.12,0.00,GH
,,11/27/2003 04:53PM,1,1,GOLD DOREBAR NO          =        TMHL02848,245183.26,0.00,GH
,,,2,1,GOLD DOREBAR NO          =        TMHL02849,249936.25,0.00,
,,,3,1,GOLD DOREBAR NO          =        TMHL02850,322508.48,0.00,
,,,4,1,GOLD DOREBAR NO          =        TMHL02851,350672.46,0.00,
,,,5,1,GOLD DOREBAR NO          =        TMHL02856,327219.42,0.00,
,,,6,1,GOLD DOREBAR NO          =        TMHL02857,281595.98,0.00,
,,,7,1,GOLD DOREBAR NO          =        TMHL02858,305008.72,0.00,
,,,8,1,GOLD DOREBAR NO          =        TMHL02859,208413.97,0.00,
,,,9,1,GOLD DOREBAR NO          =        TMHL02860,144232.41,0.00,
,,,10,1,GOLD DOREBAR NO          =        TEB02844,193843.10,0.00,
,,,11,1,GOLD DOREBAR NO          =        TEB02845,320950.73,0.00,
,,,12,1,GOLD DOREBAR NO          =        TEB02846,222801.72,0.00,
,,,13,1,GOLD DOREBAR NO          =        TEB02847,329188.07,0.00,
,,,14,1,GOLD DOREBAR NO          =        TEB02852,267881.96,0.00,
,,,15,1,GOLD DOREBAR NO          =        TEB02853,330757.22,0.00,
,,,16,1,GOLD DOREBAR NO          =        TEB02854,348152.72,0.00,
,,,17,1,GOLD DOREBAR NO          =        TEB02855,235860.40,0.00,
,,11/28/2003 03:15PM,1,1,GOLD DOREBAR NO            =     266,96206.63,0.00,GH
,,11/28/2003 04:06PM,1,1,GOLD DOREBAR NO          =     BGM-J323A,149626.72,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     BGM-J323B,145933.85,0.00,
,,11/28/2003 05:27PM,1,6,"GOLD BULLION BAR NO.AGBL255,AGBL256AGBL257,AGBL258,AGBL259,AGBL260",1223331.75,0.00,GH
,,12/1/2003 10:51AM,1,1,GOLD DOREBAR NO          =          3132,238742.86,0.00,GH
,,,2,1,GOLD DOREBAR NO          =          3133,220883.88,0.00,
,,,3,1,GOLD DOREBAR NO          =          3134,242034.46,0.00,
,,,4,1,GOLD DOREBAR NO          =          3135,223224.02,0.00,
,,,5,1,GOLD DOREBAR NO          =          3136,219065.04,0.00,
,,,6,1,GOLD DOREBAR NO          =          3137,252618.08,0.00,
,,,7,1,GOLD DOREBAR NO          =          3138G,223788.24,0.00,
,,,8,1,GOLD DOREBAR NO          =          3139G,175504.01,0.00,
,,12/2/2003 03:42PM,1,10,"GOLD BULLION BAR NOS. GAG02837,GAG02838,GAG02839,GAG02840,GAG02841",1863255.10,0.00,GH
,,12/3/2003 12:04PM,1,1,GOLD GRANULESONE WOODEN BOX,5698699.35,0.00,GH
,,12/3/2003 02:56PM,1,13,"GOLD BULLION BAR NOS.OM164,165,SOH158, SS 660,661,662,663,664,665,",2814264.67,0.00,GH
,,12/3/2003 04:10PM,1,3,GOLD  ORE  FOR  REFINING.,1051122.41,0.00,GH
,,12/3/2003 04:53PM,1,1,GOLD DOREBAR NO          =     TMHL02861,347112.62,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     TMHL02862,328743.90,0.00,
,,,3,1,GOLD DOREBAR NO          =     TMHL02863,243732.95,0.00,
,,,4,1,GOLD DOREBAR NO          =     TMHL02864,272881.41,0.00,
,,,5,1,GOLD DOREBAR NO          =     TMHL02865,266510.52,0.00,
,,,6,1,GOLD DOREBAR NO          =     TMHL02866,340165.85,0.00,
,,,7,1,GOLD DOREBAR NO          =     TMHL02867,347472.65,0.00,
,,,8,1,GOLD DOREBAR NO          =     TMHL02868,328567.86,0.00,
,,12/3/2003 04:54PM,1,2,"GOLD DOREBAR NO          =    3141G, 3140G",278327.01,0.00,GH
,,,2,1,GOLD DOREBAR NO          =    3142G,204213.45,0.00,
,,,3,1,GOLD DOREBAR NO          =    3143,254107.54,0.00,
,,,4,1,GOLD DOREBAR NO          =    3144,242595.36,0.00,
,,,5,1,GOLD DOREBAR NO          =    3145,225072.32,0.00,
,,,6,1,GOLD DOREBAR NO          =    3146,242936.81,0.00,
,,,7,1,GOLD DOREBAR NO          =    3147,228895.56,0.00,
,,,8,1,GOLD DOREBAR NO          =    3148,282189.17,0.00,
,,,9,1,GOLD DOREBAR NO          =    3149,229628.01,0.00,
,,,10,1,GOLD DOREBAR NO          =    3150,211924.51,0.00,
,,,11,2,"GOLD DOREBAR NO          =    3152G, 3151G",262948.23,0.00,
,,12/4/2003 02:14PM,1,1,GOLD GRANULESONE WOODEN BOX,5698699.35,0.00,GH
,,12/4/2003 03:05PM,1,1,GOLD DOREBAR NO          =          BGM-J324,238144.94,0.00,GH
,,12/8/2003 01:31PM,1,7,"GOLD BULLION BAR NOS. AGBL261,AGBL262,AGBL263,AGBL264,AGBL265,",1972827.84,0.00,GH
,,12/8/2003 01:31PM,1,1,GOLD DOREBAR NO          =      0267,99222.93,0.00,GH
,,12/9/2003 12:05PM,1,1,GOLD GRANULESONE WOODEN BOX,5795446.70,0.00,GH
,,12/9/2003 04:48PM,1,10,"GOLD BULLION BAR NOS. GAG02847,GAG02848,GAG02849,GAG02850,GAG02851",2024177.21,0.00,GH
,,12/10/2003 02:17PM,1,3,GOLD  ORE  FOR  REFINING.,1142568.22,0.00,GH
,,12/10/2003 03:42PM,1,11,"GOLD BULLION BAR NOS. OM166, SOH159SS 670,671,672,673,674,675,676,677,",2402315.38,0.00,GH
,,12/10/2003 05:05PM,1,1,GOLD DOREBAR NO             =         3153G,216985.65,0.00,GH
,,,2,1,"GOLD DOREBAR NO           =   3163G, 3154G",301265.09,0.00,
,,,3,1,GOLD DOREBAR NO           =   3155,202025.77,0.00,
,,,4,1,GOLD DOREBAR NO           =   3156,269424.14,0.00,
,,,5,1,GOLD DOREBAR NO           =   3157,237467.94,0.00,
,,,6,1,GOLD DOREBAR NO           =   3158,261147.18,0.00,
,,,7,1,GOLD DOREBAR NO           =   3159,244163.27,0.00,
,,,8,1,"GOLD DOREBAR NO           =   3161, 3160",263763.43,0.00,
,,,9,1,GOLD DOREBAR NO           =   3162,218145.28,0.00,
,,12/10/2003 05:35PM,1,16,GOLD DOREBAR NO TEB02869-74,4376147.28,0.00,GH
,,12/11/2003 03:21PM,1,1,GOLD DOREBAR NO          =          BGM-J325,227627.97,0.00,GH
,,12/12/2003 11:38AM,1,5,"GOLD BULLION BAR NOS. AGBL268,AGBL269,AGBL270,AGBL271,AGBL272.",1108074.68,0.00,GH
,,12/15/2003 04:12PM,1,1,GOLD DOREBAR NO          =      0268,47307.06,0.00,GH
,,12/16/2003 04:11PM,1,9,"GOLD BULLION BAR NOS. GAG02857,GAG02858,GAG02859,GAG02860,GAG02861",1877948.34,0.00,GH
,,12/16/2003 05:31PM,1,1,GOLD GRANULESONE WOODEN BOX,5760025.25,0.00,GH
,,12/17/2003 04:53PM,1,20,GOLD DOREBAR NOS = TMHL02890 - 02904,5603368.42,0.00,GH
,,12/17/2003 04:57PM,1,10,GOLD DOREBAR NOS 3164 - 3174G,2388947.45,0.00,GH
,,12/17/2003 05:16PM,1,13,"GOLD BULLION BAR NOS. OM167-168SOH160,SS679,680,681,682,683,684,",3120024.19,0.00,GH
,,12/18/2003 03:41PM,1,1,GOLD DOREBAR NO           =        BGM-J326,219966.96,0.00,GH
,,12/18/2003 04:12PM,1,1,GOLD GRANULESONE WOODEN BOX,5119314.14,0.00,GH
,,12/19/2003 04:51PM,1,4,"GOLD BULLION BAR NOS. AGBL273,AGBL274,AGBL275,AGBL276",1000356.82,0.00,GH
,,12/22/2003 12:59PM,1,1,GOLD DOREBAR NO             =      0269,53470.88,0.00,GH
,,12/23/2003 02:48PM,1,10,GOLD DOREBAR NOS 3176G - 3186G,2311304.60,0.00,GH
,,12/23/2003 06:02PM,1,11,"GOLD BULLION BAR NOS.GAG02866,GAG02867,GAG02868,GAG02869,GAG02870",1970693.61,0.00,GH
,,12/23/2003 06:02PM,1,11,"GOLD BULLION BAR NOS. OM169,170,SOH161,SS689,690,691,692,693,694,",2771616.04,0.00,GH
,,12/24/2003 09:21AM,1,13,"GOLD DOREBAR NOS TMHL02905 - 10, 15 - 17",3623556.52,0.00,GH
,,12/24/2003 02:20PM,1,1,GOLD DOREBAR NO          =      BGM-J327,139204.99,0.00,GH
,,12/29/2003 05:48PM,1,5,"GOLD BULLION BAR NOS. AGBL277,AGBL278,AGBL279,AGBL280,AGBL281",1261075.05,0.00,GH
,,12/30/2003 02:25PM,1,10,"GOLD BULLION BAR NOS.GAG02877,GAG02878,GAG02879,GAG02880,GAG02881",1898759.23,0.00,GH
,,12/31/2003 01:44PM,1,9,GOLD DOREBAR NOS  =  TMHL02918 - TMHL02926,2352613.61,0.00,GH
,,12/31/2003 01:45PM,1,12,GOLD DOREBAR NOS  =  3187G - 3198G,2586987.71,0.00,GH
7108200000,Monetary gold,11/4/2003 03:11PM,1,1,GOLD BULLION,72206.17,0.00,CH
,,11/4/2003 05:19PM,1,1,GOLD MONETORY,261061.25,0.00,TR
,,11/7/2003 02:37PM,1,2,GOLD  BULLION,222531.78,0.00,GH
,,11/7/2003 03:12PM,1,1,GOLD BULLION,98966.18,0.00,GH
,,11/7/2003 03:16PM,1,2,GOLD BULLION,337844.27,0.00,GH
,,11/7/2003 04:15PM,1,1,GOLD BULLION,168383.53,0.00,GH
,,11/7/2003 04:40PM,1,4,GOLD BULLION,468639.37,0.00,GH
,,11/10/2003 05:15PM,1,1,GOLD BULLION,55465.34,0.00,GH
,,11/11/2003 06:02PM,1,1,GOLD BULLION,124996.67,0.00,GH
,,11/14/2003 02:35PM,1,1,GOLD BULLION,131997.68,0.00,GH
,,11/14/2003 02:57PM,1,1,GOLD BULLION,184033.18,0.00,GH
,,11/14/2003 02:59PM,1,3,GOLD BULLION,492516.24,0.00,GH
,,11/14/2003 03:01PM,1,1,GOLD BULLION,96617.27,0.00,GH
,,11/14/2003 04:08PM,1,1,GOLD  BULLION,98111.70,0.00,GH
,,11/18/2003 05:00PM,1,1,GOLD BULLION,207028.51,0.00,GH
,,11/18/2003 05:05PM,1,1,GOLD BULLION,77566.48,0.00,GH
,,11/21/2003 05:22PM,1,2,GOLD BULLION,255842.38,0.00,GH
,,11/21/2003 05:26PM,1,1,GOLD  BULLION,37992.36,0.00,GH
,,11/26/2003 10:31AM,1,1,GOLD BULLION,182834.56,0.00,GH
,,11/26/2003 10:41AM,1,3,GOLD BULLION,363059.14,0.00,GH
,,11/26/2003 11:25AM,1,3,GOLD BULLION,456153.77,0.00,GH
,,12/1/2003 08:35AM,1,1,GOLD BULLION,137386.35,0.00,GH
,,12/1/2003 08:51AM,1,1,GOLD BULLION,51381.34,0.00,GH
,,12/1/2003 08:51AM,1,2,GOLD BULLION,204089.40,0.00,GH
,,12/1/2003 08:51AM,1,2,GOLD BULLION,304540.87,0.00,GH
,,12/2/2003 03:22PM,1,1,GOLD BULLION,34956.74,0.00,GH
,,12/2/2003 03:22PM,1,1,GOLD BULLION,74041.02,0.00,GH
,,12/2/2003 03:22PM,1,4,GOLD BULLION,639238.50,0.00,GH
,,12/3/2003 04:21PM,1,1,GOLD MONETARY,11381.26,0.00,TR
,,12/4/2003 03:51PM,1,2,GOLD BULLION,289073.13,0.00,GH
,,12/4/2003 03:52PM,1,1,GOLD BULLION,171853.01,0.00,GH
,,12/9/2003 04:48PM,1,1,GOLD BULLION,142239.44,0.00,GH
,,12/11/2003 02:36PM,1,1,GOLD BULLION,38865.19,0.00,GH
,,12/11/2003 02:36PM,1,1,GOLD BULLION,35333.12,0.00,GH
,,12/11/2003 04:38PM,1,1,GOLD MMONETARY,9194.56,0.00,TR
,,12/12/2003 03:25PM,1,1,GOLD BULLION,149808.04,0.00,GH
,,12/12/2003 03:25PM,1,4,GOLD BULLION,611399.36,0.00,GH
,,12/12/2003 03:25PM,1,1,GOLD BULLION,98552.23,0.00,GH
,,12/12/2003 03:25PM,1,2,GOLD BULLION,311493.37,0.00,GH
,,12/16/2003 02:29PM,1,1,GOLD BULLION,215366.52,0.00,GH
,,12/18/2003 04:28PM,1,1,GOLD BULLION,145576.28,0.00,GH
,,12/18/2003 04:28PM,1,4,GOLD BULLION,633175.63,0.00,GH
,,12/23/2003 04:23PM,1,2,GOLD BULLION,256839.03,0.00,GH
,,12/23/2003 04:23PM,1,4,GOLD BULLION,605760.93,0.00,GH
,,12/23/2003 04:23PM,1,1,GOLD BULLION,57050.50,0.00,GH
,,12/23/2003 04:23PM,1,2,GOLD BULLION,389938.81,0.00,GH
,,12/29/2003 02:24PM,1,2,GOLD BULLION,205499.79,0.00,GH
,,12/29/2003 02:24PM,1,1,GOLD BULLION,60245.50,0.00,GH
,,12/30/2003 04:03PM,1,1,MONETARY GOLD,21042.04,0.00,TR
8465910000,"Sawing machines for working wood, cork, bone, hard rubber, etc",10/21/2003 12:37PM,1,1,INDUSTRIAL SEWING MACHINE HEAD-MACHINERY PARTS,131.96,0.00,GB
8467890000,"Tools for working in the hand, with non-electric motor, nes",12/8/2003 03:52PM,1,2,REFRACTORY TOOLS,45927.55,0.00,GH
8516600000,"Electric ovens, nes; cookers, cooking plates, boiling rings, grillers...",11/6/2003 08:08PM,2,18,COOKING UTENCILS,87.86,0.00,NG
8544200000,Co-axial cable and other co-axial electric conductors,11/28/2003 01:11PM,1,7,35200 METERS,1493.26,0.00,GN
8703242200,"Used s/w, s/i, cc > 3000, <= 10 yrs",12/30/2003 09:26AM,1,1,USED HYUNDAI SANTAFE 4WD S/WAGONCHASSIS #. KMHSB81VP2U192317,14939.99,0.00,NL
9015900000,Parts and accessories of surveying... instruments/apparatus of 90.15,12/31/2003 10:53AM,1,2,RDA ACTIVE STREAMER SECTIONS(SHIP'S SPARES IN TRANSIT FOR,12694.11,0.00,GH
9206000000,"Percussion musical instruments (eg drums, xylophones, cymbals, etc)",11/7/2003 05:12PM,1,1,2 SMALL DRUMS2 SMALL DRUMS,0.00,0.00,DE
9403600000,"Wooden furniture, nes",11/6/2003 08:08PM,1,18,KITCHEN SHELVE,87.86,0.00,NG
,,11/26/2003 04:14PM,2,1,HANDICRAFT,44.77,0.00,GH
,,12/22/2003 04:15PM,1,4,WOODEN,2435.69,0.00,GH
,,12/29/2003 04:45PM,1,23,WOODEN TILES,177.45,0.00,GH
9407000000,PERSONAL EFFECTS,11/28/2003 03:03PM,1,1,PERSONAL EFFECTS,119.38,0.00,GH
,,12/1/2003 04:08PM,1,1,AFRICAN CLOTHING,87.61,0.00,GH
,,12/19/2003 02:48PM,1,1,PERSONAL EFFECTS,86.48,0.00,GH
